Slug	ID	Title	QPos	AR	Subgroups
minimum-index-of-a-valid-split	2780	Minimum Index of a Valid Split	Q3	75.5%	Hashing/Implementary Problems; Sorting/Implementary
find-xor-beauty-of-array	2527	Find Xor-Beauty of Array	Q3	70.8%	Bit Manipulation/Basic Bit Concepts
count-k-th-roots-in-a-range	3932	Count K-th Roots in a Range	Q2	24.2%	Binary Search/Upper Bound and Lower Bound
sort-the-matrix-diagonally	1329	Sort the Matrix Diagonally	Q3	83.2%	Matrix/Implementary; Sorting/Implementary
minimum-adjacent-swaps-to-alternate-parity	3587	Minimum Adjacent Swaps to Alternate Parity	Q1	42.4%	Greedy/Part I
most-popular-video-creator	2456	Most Popular Video Creator	Q2	45.4%	Heap (Priority Queue)/Implementary Questions; Hashing/Implementary Problems; Sorting/Implementary
longest-palindrome-after-substring-concatenation-i	3503	Longest Palindrome After Substring Concatenation I	Q2	43.9%	Dynamic Programming Level 1/DP on String; Dynamic Programming Level 1/Linear DP; 2 Pointers/Two Pointer on Strings; 2 Pointers/Two Pointer on Arrays
maximum-profit-of-operating-a-centennial-wheel	1599	Maximum Profit of Operating a Centennial Wheel	Q2	44.6%	(unclassified)
design-event-manager	3885	Design Event Manager	Q2	50.8%	Heap (Priority Queue)/Implementary Questions; Hashing/Implementary Problems
array-of-doubled-pairs	954	Array of Doubled Pairs	Q2	39.8%	Greedy/Part I; Hashing/Implementary Problems; Sorting/Implementary
bold-words-in-string	758	Bold Words in String	Q2	52.5%	Tries/Trie involving String; Hashing/Implementary Problems; String Matching Algos/Pattern Matching
largest-prime-from-consecutive-prime-sum	3770	Largest Prime from Consecutive Prime Sum	Q2	39.2%	Binary Search/Upper Bound and Lower Bound
maximum-sum-of-almost-unique-subarray	2841	Maximum Sum of Almost Unique Subarray	Q3	41.2%	Hashing/Implementary Problems; Sliding Window/Dynamic Size Sliding-Window
find-the-number-of-copy-arrays	3468	Find the Number of Copy Arrays	Q2	47.0%	(unclassified)
path-in-zigzag-labelled-binary-tree	1104	Path In Zigzag Labelled Binary Tree	Q2	75.8%	Binary Tree/Implementary
remove-sub-folders-from-the-filesystem	1233	Remove Sub-Folders from the Filesystem	Q2	78.6%	Tries/Trie involving String; Sorting/Implementary
valid-tic-tac-toe-state	794	Valid Tic-Tac-Toe State	Q1	34.8%	Matrix/Implementary
check-if-it-is-possible-to-split-array	2811	Check if it is Possible to Split Array	Q2	34.5%	Dynamic Programming Level 1/Linear DP; Greedy/Part I
largest-triangle-area	812	Largest Triangle Area	Q1	71.6%	Combinatorics & Geometry/Line
find-the-smallest-divisor-given-a-threshold	1283	Find the Smallest Divisor Given a Threshold	Q3	66.0%	Binary Search/Upper Bound and Lower Bound
interval-list-intersections	986	Interval List Intersections	Q3	73.0%	2 Pointers/Two Pointer on Arrays
maximum-absolute-sum-of-any-subarray	1749	Maximum Absolute Sum of Any Subarray	Q2	71.0%	Dynamic Programming Level 1/Linear DP
remove-all-adjacent-duplicates-in-string-ii	1209	Remove All Adjacent Duplicates in String II	Q3	61.3%	Stack/Stack with String; Stack/Implementary Stack
fill-a-special-grid	3537	Fill a Special Grid	Q2	70.9%	Matrix/Implementary
find-the-divisibility-array-of-a-string	2575	Find the Divisibility Array of a String	Q2	36.5%	(unclassified)
minimum-domino-rotations-for-equal-row	1007	Minimum Domino Rotations For Equal Row	Q3	56.5%	Greedy/Part I
meeting-scheduler	1229	Meeting Scheduler	Q2	55.2%	2 Pointers/Two Pointer on Arrays; Sorting/Implementary
right-triangles	3128	Right Triangles	Q2	48.8%	Hashing/Implementary Problems; Combinatorics & Geometry/Combinatorics
balance-a-binary-search-tree	1382	Balance a Binary Search Tree	Q3	86.3%	Binary Search/Binary Search On Answer; Binary Search/Upper Bound and Lower Bound; Greedy/Part I; Binary Search Tree/Implementary; Binary Tree/Implementary
design-a-number-container-system	2349	Design a Number Container System	Q3	57.1%	Heap (Priority Queue)/Implementary Questions; Hashing/Implementary Problems
find-all-groups-of-farmland	1992	Find All Groups of Farmland	Q2	75.5%	Matrix/Implementary
maximum-split-of-positive-even-integers	2178	Maximum Split of Positive Even Integers	Q3	59.7%	Greedy/Part I; Recursion & Backtracking/Recursion Problems
camelcase-matching	1023	Camelcase Matching	Q3	65.4%	Tries/Trie involving String; 2 Pointers/Two Pointer on Strings; 2 Pointers/Two Pointer on Arrays; String Matching Algos/Pattern Matching
rotating-the-box	1861	Rotating the Box	Q3	82.5%	2 Pointers/Two Pointer on Arrays; Matrix/Implementary
high-access-employees	2933	High-Access Employees	Q2	47.5%	Hashing/Implementary Problems; Sorting/Implementary
maximize-sum-of-squares-of-digits	3723	Maximize Sum of Squares of Digits	Q2	59.0%	Greedy/Part I
length-of-longest-subarray-with-at-most-k-frequency	2958	Length of Longest Subarray With at Most K Frequency	Q3	56.6%	Hashing/Implementary Problems; Sliding Window/Dynamic Size Sliding-Window; 2 Pointers/Two Pointer on Arrays
integers-with-multiple-sum-of-two-cubes	3890	Integers With Multiple Sum of Two Cubes	Q2	55.6%	Binary Search/Upper Bound and Lower Bound; Hashing/Implementary Problems; Sorting/Implementary
smallest-subtree-with-all-the-deepest-nodes	865	Smallest Subtree with all the Deepest Nodes	Q2	77.6%	Hashing/Implementary Problems; Binary Tree/Implementary
design-authentication-manager	1797	Design Authentication Manager	Q2	58.6%	Hashing/Implementary Problems; Linked List/Implementary
