Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
distribute-candies-among-children-ii	2929	Distribute Candies Among Children II	direct	Math|Combinatorics|Enumeration	Combinatorial Mathematics + Principle of Inclusion-Exclusion	2929_distribute-candies-among-children-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2929.Distribute%20Candies%20Among%20Children%20II/README_EN.md
count-subarrays-where-max-element-appears-at-least-k-times	2962	Count Subarrays Where Max Element Appears at Least K Times	direct	Array|Sliding Window	Two Pointers	2962_count-subarrays-where-max-element-appears-at-least-k-times.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2962.Count%20Subarrays%20Where%20Max%20Element%20Appears%20at%20Least%20K%20Times/README_EN.md
inverse-coin-change	3592	Inverse Coin Change	direct	Array|Dynamic Programming	<!-- tabs:start -->	3592_inverse-coin-change.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3592.Inverse%20Coin%20Change/README_EN.md
distant-barcodes	1054	Distant Barcodes	direct	Greedy|Array|Hash Table|Counting|Sorting|Heap (Priority Queue)	Counting + Sorting	1054_distant-barcodes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1054.Distant%20Barcodes/README_EN.md
closest-dessert-cost	1774	Closest Dessert Cost	direct	Array|Dynamic Programming|Backtracking	<!-- tabs:start -->	1774_closest-dessert-cost.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1774.Closest%20Dessert%20Cost/README_EN.md
range-frequency-queries	2080	Range Frequency Queries	direct	Design|Segment Tree|Array|Hash Table|Binary Search	Hash Table + Binary Search	2080_range-frequency-queries.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2080.Range%20Frequency%20Queries/README_EN.md
find-good-days-to-rob-the-bank	2100	Find Good Days to Rob the Bank	direct	Array|Dynamic Programming|Prefix Sum	<!-- tabs:start -->	2100_find-good-days-to-rob-the-bank.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2100.Find%20Good%20Days%20to%20Rob%20the%20Bank/README_EN.md
check-completeness-of-a-binary-tree	958	Check Completeness of a Binary Tree	direct	Tree|Breadth-First Search|Binary Tree	<!-- tabs:start -->	0958_check-completeness-of-a-binary-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0958.Check%20Completeness%20of%20a%20Binary%20Tree/README_EN.md
maximum-compatibility-score-sum	1947	Maximum Compatibility Score Sum	direct	Bit Manipulation|Array|Dynamic Programming|Backtracking|Bitmask	Preprocessing + Backtracking	1947_maximum-compatibility-score-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1947.Maximum%20Compatibility%20Score%20Sum/README_EN.md
eat-pizzas	3457	Eat Pizzas!	direct	Greedy|Array|Sorting	Greedy + Sorting	3457_eat-pizzas.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3457.Eat%20Pizzas%21/README_EN.md
