Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
adjacent-increasing-subarrays-detection-ii	3350	Adjacent Increasing Subarrays Detection II	direct	Array|Binary Search	Single Pass	3350_adjacent-increasing-subarrays-detection-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3350.Adjacent%20Increasing%20Subarrays%20Detection%20II/README_EN.md
minimum-number-of-swaps-to-make-the-binary-string-alternating	1864	Minimum Number of Swaps to Make the Binary String Alternating	direct	Greedy|String	Counting	1864_minimum-number-of-swaps-to-make-the-binary-string-alternating.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1800-1899/1864.Minimum%20Number%20of%20Swaps%20to%20Make%20the%20Binary%20String%20Alternating/README_EN.md
find-the-largest-area-of-square-inside-two-rectangles	3047	Find the Largest Area of Square Inside Two Rectangles	direct	Geometry|Array|Math	Enumeration	3047_find-the-largest-area-of-square-inside-two-rectangles.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3047.Find%20the%20Largest%20Area%20of%20Square%20Inside%20Two%20Rectangles/README_EN.md
flip-string-to-monotone-increasing	926	Flip String to Monotone Increasing	direct	String|Dynamic Programming	Prefix Sum + Enumeration	0926_flip-string-to-monotone-increasing.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0926.Flip%20String%20to%20Monotone%20Increasing/README_EN.md
count-lattice-points-inside-a-circle	2249	Count Lattice Points Inside a Circle	direct	Geometry|Array|Hash Table|Math|Enumeration	<!-- tabs:start -->	2249_count-lattice-points-inside-a-circle.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2249.Count%20Lattice%20Points%20Inside%20a%20Circle/README_EN.md
number-of-subarrays-with-gcd-equal-to-k	2447	Number of Subarrays With GCD Equal to K	direct	Array|Math|Number Theory	Direct Enumeration	2447_number-of-subarrays-with-gcd-equal-to-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2447.Number%20of%20Subarrays%20With%20GCD%20Equal%20to%20K/README_EN.md
k-th-largest-perfect-subtree-size-in-binary-tree	3319	K-th Largest Perfect Subtree Size in Binary Tree	direct	Tree|Depth-First Search|Binary Tree|Sorting	DFS + Sorting	3319_k-th-largest-perfect-subtree-size-in-binary-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3319.K-th%20Largest%20Perfect%20Subtree%20Size%20in%20Binary%20Tree/README_EN.md
count-unreachable-pairs-of-nodes-in-an-undirected-graph	2316	Count Unreachable Pairs of Nodes in an Undirected Graph	direct	Depth-First Search|Breadth-First Search|Union Find|Graph	DFS	2316_count-unreachable-pairs-of-nodes-in-an-undirected-graph.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2316.Count%20Unreachable%20Pairs%20of%20Nodes%20in%20an%20Undirected%20Graph/README_EN.md
longest-uploaded-prefix	2424	Longest Uploaded Prefix	direct	Union Find|Design|Binary Indexed Tree|Segment Tree|Hash Table|Binary Search|Ordered Set|Heap (Priority Queue)	Simulation	2424_longest-uploaded-prefix.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2424.Longest%20Uploaded%20Prefix/README_EN.md
partition-string-into-substrings-with-values-at-most-k	2522	Partition String Into Substrings With Values at Most K	direct	Greedy|String|Dynamic Programming	Memoization Search	2522_partition-string-into-substrings-with-values-at-most-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2522.Partition%20String%20Into%20Substrings%20With%20Values%20at%20Most%20K/README_EN.md
apply-bitwise-operations-to-make-strings-equal	2546	Apply Bitwise Operations to Make Strings Equal	direct	Bit Manipulation|String	Lateral Thinking	2546_apply-bitwise-operations-to-make-strings-equal.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2546.Apply%20Bitwise%20Operations%20to%20Make%20Strings%20Equal/README_EN.md
minimum-operations-to-make-median-of-array-equal-to-k	3107	Minimum Operations to Make Median of Array Equal to K	direct	Greedy|Array|Sorting	Greedy + Sorting	3107_minimum-operations-to-make-median-of-array-equal-to-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3100-3199/3107.Minimum%20Operations%20to%20Make%20Median%20of%20Array%20Equal%20to%20K/README_EN.md
expressive-words	809	Expressive Words	direct	Array|Two Pointers|String	Traversal Counting + Two Pointers	0809_expressive-words.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0809.Expressive%20Words/README_EN.md
alert-using-same-key-card-three-or-more-times-in-a-one-hour-period	1604	Alert Using Same Key-Card Three or More Times in a One Hour Period	direct	Array|Hash Table|String|Sorting	Hash Table + Sorting	1604_alert-using-same-key-card-three-or-more-times-in-a-one-hour-period.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1604.Alert%20Using%20Same%20Key-Card%20Three%20or%20More%20Times%20in%20a%20One%20Hour%20Period/README_EN.md
word-squares-ii	3799	Word Squares II	direct	Array|String|Backtracking|Enumeration|Sorting	<!-- tabs:start -->	3799_word-squares-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3799.Word%20Squares%20II/README_EN.md
lowest-common-ancestor-of-deepest-leaves	1123	Lowest Common Ancestor of Deepest Leaves	direct	Tree|Depth-First Search|Breadth-First Search|Hash Table|Binary Tree	DFS	1123_lowest-common-ancestor-of-deepest-leaves.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1123.Lowest%20Common%20Ancestor%20of%20Deepest%20Leaves/README_EN.md
sum-of-mutated-array-closest-to-target	1300	Sum of Mutated Array Closest to Target	direct	Array|Binary Search|Sorting	Sorting + Prefix Sum + Binary Search + Enumeration	1300_sum-of-mutated-array-closest-to-target.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1300.Sum%20of%20Mutated%20Array%20Closest%20to%20Target/README_EN.md
construct-the-longest-new-string	2745	Construct the Longest New String	direct	Greedy|Brainteaser|Math|Dynamic Programming	Case Discussion	2745_construct-the-longest-new-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2745.Construct%20the%20Longest%20New%20String/README_EN.md
count-number-of-ways-to-place-houses	2320	Count Number of Ways to Place Houses	direct	Dynamic Programming	Dynamic Programming	2320_count-number-of-ways-to-place-houses.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2320.Count%20Number%20of%20Ways%20to%20Place%20Houses/README_EN.md
mark-elements-on-array-by-performing-queries	3080	Mark Elements on Array by Performing Queries	direct	Array|Hash Table|Sorting|Simulation|Heap (Priority Queue)	Sorting + Simulation	3080_mark-elements-on-array-by-performing-queries.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3080.Mark%20Elements%20on%20Array%20by%20Performing%20Queries/README_EN.md
find-a-safe-walk-through-a-grid	3286	Find a Safe Walk Through a Grid	direct	Breadth-First Search|Graph|Array|Matrix|Shortest Path|Heap (Priority Queue)	BFS	3286_find-a-safe-walk-through-a-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3286.Find%20a%20Safe%20Walk%20Through%20a%20Grid/README_EN.md
count-valid-word-occurrences	3926	Count Valid Word Occurrences	direct		Counting	3926_count-valid-word-occurrences.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3900-3999/3926.Count%20Valid%20Word%20Occurrences/README_EN.md
maximum-width-ramp	962	Maximum Width Ramp	direct	Stack|Array|Two Pointers|Monotonic Stack	Monotonic Stack	0962_maximum-width-ramp.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0962.Maximum%20Width%20Ramp/README_EN.md
minimum-score-by-changing-two-elements	2567	Minimum Score by Changing Two Elements	direct	Greedy|Array|Sorting	Sorting + Greedy	2567_minimum-score-by-changing-two-elements.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2567.Minimum%20Score%20by%20Changing%20Two%20Elements/README_EN.md
design-front-middle-back-queue	1670	Design Front Middle Back Queue	direct	Design|Queue|Array|Linked List|Data Stream|Doubly-Linked List	Two Deques	1670_design-front-middle-back-queue.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1670.Design%20Front%20Middle%20Back%20Queue/README_EN.md
range-product-queries-of-powers	2438	Range Product Queries of Powers	direct	Bit Manipulation|Array|Prefix Sum	Bit Manipulation + Simulation	2438_range-product-queries-of-powers.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2438.Range%20Product%20Queries%20of%20Powers/README_EN.md
number-of-sub-arrays-with-odd-sum	1524	Number of Sub-arrays With Odd Sum	direct	Array|Math|Dynamic Programming|Prefix Sum	Prefix Sum + Counter	1524_number-of-sub-arrays-with-odd-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1524.Number%20of%20Sub-arrays%20With%20Odd%20Sum/README_EN.md
minimize-result-by-adding-parentheses-to-expression	2232	Minimize Result by Adding Parentheses to Expression	direct	String|Enumeration	<!-- tabs:start -->	2232_minimize-result-by-adding-parentheses-to-expression.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2232.Minimize%20Result%20by%20Adding%20Parentheses%20to%20Expression/README_EN.md
escape-the-ghosts	789	Escape The Ghosts	direct	Array|Math	<!-- tabs:start -->	0789_escape-the-ghosts.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0789.Escape%20The%20Ghosts/README_EN.md
count-square-submatrices-with-all-ones	1277	Count Square Submatrices with All Ones	direct	Array|Dynamic Programming|Matrix	Dynamic Programming	1277_count-square-submatrices-with-all-ones.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1277.Count%20Square%20Submatrices%20with%20All%20Ones/README_EN.md
relocate-marbles	2766	Relocate Marbles	direct	Array|Hash Table|Sorting|Simulation	Hash Table	2766_relocate-marbles.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2766.Relocate%20Marbles/README_EN.md
count-the-hidden-sequences	2145	Count the Hidden Sequences	direct	Array|Prefix Sum	Prefix Sum	2145_count-the-hidden-sequences.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2145.Count%20the%20Hidden%20Sequences/README_EN.md
number-of-enclaves	1020	Number of Enclaves	direct	Depth-First Search|Breadth-First Search|Union Find|Array|Matrix	<!-- tabs:start -->|<!-- tabs:start -->|<!-- tabs:start -->	1020_number-of-enclaves.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1020.Number%20of%20Enclaves/README_EN.md
design-an-atm-machine	2241	Design an ATM Machine	direct	Greedy|Design|Array	Simulation	2241_design-an-atm-machine.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2241.Design%20an%20ATM%20Machine/README_EN.md
last-moment-before-all-ants-fall-out-of-a-plank	1503	Last Moment Before All Ants Fall Out of a Plank	direct	Brainteaser|Array|Simulation	Brain Teaser	1503_last-moment-before-all-ants-fall-out-of-a-plank.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1503.Last%20Moment%20Before%20All%20Ants%20Fall%20Out%20of%20a%20Plank/README_EN.md
house-robber-v	3840	House Robber V	direct	Array|Dynamic Programming	Dynamic Programming	3840_house-robber-v.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3840.House%20Robber%20V/README_EN.md
minimum-operations-to-make-array-equal-ii	2541	Minimum Operations to Make Array Equal II	direct	Greedy|Array|Math	Single Pass	2541_minimum-operations-to-make-array-equal-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2541.Minimum%20Operations%20to%20Make%20Array%20Equal%20II/README_EN.md
find-the-integer-added-to-array-ii	3132	Find the Integer Added to Array II	direct	Array|Two Pointers|Enumeration|Sorting	Sorting + Enumeration + Two Pointers	3132_find-the-integer-added-to-array-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3100-3199/3132.Find%20the%20Integer%20Added%20to%20Array%20II/README_EN.md
count-number-of-bad-pairs	2364	Count Number of Bad Pairs	direct	Array|Hash Table|Math|Counting	Equation Transformation + Hash Table	2364_count-number-of-bad-pairs.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2364.Count%20Number%20of%20Bad%20Pairs/README_EN.md
bitwise-xor-of-all-pairings	2425	Bitwise XOR of All Pairings	direct	Bit Manipulation|Brainteaser|Array	Quick Thinking + Bit Manipulation	2425_bitwise-xor-of-all-pairings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2425.Bitwise%20XOR%20of%20All%20Pairings/README_EN.md
minimum-number-of-food-buckets-to-feed-the-hamsters	2086	Minimum Number of Buckets Required to Collect Rainwater from Houses	api	Greedy|String|Dynamic Programming	<!-- tabs:start -->	2086_minimum-number-of-food-buckets-to-feed-the-hamsters.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2086.Minimum%20Number%20of%20Food%20Buckets%20to%20Feed%20the%20Hamsters/README_EN.md
task-scheduler-ii	2365	Task Scheduler II	direct	Array|Hash Table|Simulation	Hash Table + Simulation	2365_task-scheduler-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2365.Task%20Scheduler%20II/README_EN.md
count-number-of-nice-subarrays	1248	Count Number of Nice Subarrays	direct	Array|Hash Table|Math|Prefix Sum|Sliding Window	Prefix Sum + Array or Hash Table	1248_count-number-of-nice-subarrays.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1248.Count%20Number%20of%20Nice%20Subarrays/README_EN.md
count-caesar-cipher-pairs	3805	Count Caesar Cipher Pairs	direct	Array|Hash Table|Math|String|Counting	String Transformation + Counting	3805_count-caesar-cipher-pairs.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3805.Count%20Caesar%20Cipher%20Pairs/README_EN.md
word-subsets	916	Word Subsets	direct	Array|Hash Table|String	Counting	0916_word-subsets.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0916.Word%20Subsets/README_EN.md
is-graph-bipartite	785	Is Graph Bipartite?	api	Depth-First Search|Breadth-First Search|Union Find|Graph	Coloring Method to Determine Bipartite Graph|Union-Find	0785_is-graph-bipartite.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0785.Is%20Graph%20Bipartite/README_EN.md
rank-teams-by-votes	1366	Rank Teams by Votes	direct	Array|Hash Table|String|Counting|Sorting	Counting + Custom Sorting	1366_rank-teams-by-votes.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1366.Rank%20Teams%20by%20Votes/README_EN.md
maximum-number-of-moves-in-a-grid	2684	Maximum Number of Moves in a Grid	direct	Array|Dynamic Programming|Matrix	BFS	2684_maximum-number-of-moves-in-a-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2600-2699/2684.Maximum%20Number%20of%20Moves%20in%20a%20Grid/README_EN.md
happy-students	2860	Happy Students	direct	Array|Enumeration|Sorting	Sorting + Enumeration	2860_happy-students.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2800-2899/2860.Happy%20Students/README_EN.md
shortest-distance-to-target-color	1182	Shortest Distance to Target Color	direct	Array|Binary Search|Dynamic Programming	Preprocessing	1182_shortest-distance-to-target-color.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1182.Shortest%20Distance%20to%20Target%20Color/README_EN.md
remove-palindromic-subsequences	1332	Remove Palindromic Subsequences	direct	Two Pointers|String	<!-- tabs:start -->	1332_remove-palindromic-subsequences.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1332.Remove%20Palindromic%20Subsequences/README_EN.md
concatenation-of-consecutive-binary-numbers	1680	Concatenation of Consecutive Binary Numbers	direct	Bit Manipulation|Math|Simulation	Bit Manipulation|Bit Manipulation (Optimization)	1680_concatenation-of-consecutive-binary-numbers.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1680.Concatenation%20of%20Consecutive%20Binary%20Numbers/README_EN.md
can-convert-string-in-k-moves	1540	Can Convert String in K Moves	direct	Hash Table|String	<!-- tabs:start -->	1540_can-convert-string-in-k-moves.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1540.Can%20Convert%20String%20in%20K%20Moves/README_EN.md
count-ways-to-group-overlapping-ranges	2580	Count Ways to Group Overlapping Ranges	direct	Array|Sorting	Sorting + Counting + Fast Power|<!-- tabs:start -->	2580_count-ways-to-group-overlapping-ranges.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2580.Count%20Ways%20to%20Group%20Overlapping%20Ranges/README_EN.md
short-encoding-of-words	820	Short Encoding of Words	direct	Trie|Array|Hash Table|String	<!-- tabs:start -->|<!-- tabs:start -->	0820_short-encoding-of-words.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0820.Short%20Encoding%20of%20Words/README_EN.md
