Slug	ID	Title	QPos	AR	Subgroups
longest-string-chain	1048	Longest String Chain	Q3	63.0%	Dynamic Programming Level 1/DP on String; Dynamic Programming Level 1/Linear DP; Hashing/Implementary Problems; 2 Pointers/Two Pointer on Strings; 2 Pointers/Two Pointer on Arrays; Sorting/Implementary
ways-to-split-array-into-good-subarrays	2750	Ways to Split Array Into Good Subarrays	Q3	35.1%	Dynamic Programming Level 1/Linear DP
longest-arithmetic-subsequence-of-given-difference	1218	Longest Arithmetic Subsequence of Given Difference	Q2	54.3%	Dynamic Programming Level 1/Linear DP; Hashing/Implementary Problems
minimum-swaps-to-make-strings-equal	1247	Minimum Swaps to Make Strings Equal	Q1	65.4%	Greedy/Part I
card-flipping-game	822	Card Flipping Game	Q2	50.4%	Hashing/Implementary Problems
design-ride-sharing-system	3829	Design Ride Sharing System	Q3	63.3%	Hashing/Implementary Problems
number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers	1577	Number of Ways Where Square of Number Is Equal to Product of Two Numbers	Q2	43.5%	Hashing/Implementary Problems; 2 Pointers/Two Pointer on Arrays
maximum-number-of-operations-to-move-ones-to-the-end	3228	Maximum Number of Operations to Move Ones to the End	Q3	67.1%	Greedy/Part I
iterator-for-combination	1286	Iterator for Combination	Q3	72.7%	Recursion & Backtracking/Recursion Problems
maximum-points-after-enemy-battles	3207	Maximum Points After Enemy Battles	Q2	33.4%	Greedy/Part I
number-of-ways-to-split-a-string	1573	Number of Ways to Split a String	Q2	34.6%	(unclassified)
sentence-similarity-iii	1813	Sentence Similarity III	Q2	48.4%	2 Pointers/Two Pointer on Strings; 2 Pointers/Two Pointer on Arrays
minimum-operations-to-make-a-special-number	2844	Minimum Operations to Make a Special Number	Q2	38.6%	Greedy/Part I
form-array-by-concatenating-subarrays-of-another-array	1764	Form Array by Concatenating Subarrays of Another Array	Q2	54.8%	Greedy/Part I; 2 Pointers/Two Pointer on Strings; 2 Pointers/Two Pointer on Arrays; String Matching Algos/Pattern Matching
matrix-cells-in-distance-order	1030	Matrix Cells in Distance Order	Q2	74.2%	Combinatorics & Geometry/Line; Matrix/Implementary; Sorting/Implementary
maximum-value-of-an-ordered-triplet-ii	2874	Maximum Value of an Ordered Triplet II	Q2	56.4%	(unclassified)
count-collisions-on-a-road	2211	Count Collisions on a Road	Q2	58.1%	Stack/Stack with String; Stack/Implementary Stack
longest-alternating-subarray	2765	Longest Alternating Subarray	Q1	35.3%	(unclassified)
longest-substring-of-all-vowels-in-order	1839	Longest Substring Of All Vowels in Order	Q3	51.9%	Sliding Window/Dynamic Size Sliding-Window; 2 Pointers/Two Pointer on Strings; 2 Pointers/Two Pointer on Arrays
count-number-of-trapezoids-i	3623	Count Number of Trapezoids I	Q2	48.1%	Hashing/Implementary Problems; Combinatorics & Geometry/Line
coloring-a-border	1034	Coloring A Border	Q2	51.3%	Matrix/Implementary
find-mirror-score-of-a-string	3412	Find Mirror Score of a String	Q2	35.8%	Stack/Stack with String; Stack/Implementary Stack; Hashing/Implementary Problems
apply-discount-to-prices	2288	Apply Discount to Prices	Q2	34.3%	(unclassified)
time-based-key-value-store	981	Time Based Key-Value Store	Q2	49.9%	Binary Search/Upper Bound and Lower Bound; Hashing/Implementary Problems
minimum-time-to-make-rope-colorful	1578	Minimum Deletion Cost to Avoid Repeating Letters	Q3	65.2%	Dynamic Programming Level 1/DP on String; Dynamic Programming Level 1/Linear DP; Greedy/Part I; 2 Pointers/Two Pointer on Strings; 2 Pointers/Two Pointer on Arrays
