Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
longest-string-chain	1048	Longest String Chain	direct	Array|Hash Table|Two Pointers|String|Dynamic Programming|Sorting	<!-- tabs:start -->|<!-- tabs:start -->	1048_longest-string-chain.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1048.Longest%20String%20Chain/README_EN.md
ways-to-split-array-into-good-subarrays	2750	Ways to Split Array Into Good Subarrays	direct	Array|Math|Dynamic Programming	Multiplication Principle	2750_ways-to-split-array-into-good-subarrays.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2750.Ways%20to%20Split%20Array%20Into%20Good%20Subarrays/README_EN.md
longest-arithmetic-subsequence-of-given-difference	1218	Longest Arithmetic Subsequence of Given Difference	direct	Array|Hash Table|Dynamic Programming	Dynamic Programming	1218_longest-arithmetic-subsequence-of-given-difference.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1218.Longest%20Arithmetic%20Subsequence%20of%20Given%20Difference/README_EN.md
minimum-swaps-to-make-strings-equal	1247	Minimum Swaps to Make Strings Equal	direct	Greedy|Math|String	Greedy	1247_minimum-swaps-to-make-strings-equal.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1247.Minimum%20Swaps%20to%20Make%20Strings%20Equal/README_EN.md
closest-nodes-queries-in-a-binary-search-tree	2476	Closest Nodes Queries in a Binary Search Tree	direct	Tree|Depth-First Search|Binary Search Tree|Array|Binary Search|Binary Tree	In-order Traversal + Binary Search	2476_closest-nodes-queries-in-a-binary-search-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2400-2499/2476.Closest%20Nodes%20Queries%20in%20a%20Binary%20Search%20Tree/README_EN.md
find-the-power-of-k-size-subarrays-ii	3255	Find the Power of K-Size Subarrays II	direct	Array|Sliding Window	Recursion	3255_find-the-power-of-k-size-subarrays-ii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3255.Find%20the%20Power%20of%20K-Size%20Subarrays%20II/README_EN.md
card-flipping-game	822	Card Flipping Game	direct	Array|Hash Table	Hash Table	0822_card-flipping-game.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0822.Card%20Flipping%20Game/README_EN.md
design-ride-sharing-system	3829	Design Ride Sharing System	direct	Design|Queue|Hash Table|Data Stream	Sorted Set + Hash Table	3829_design-ride-sharing-system.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3829.Design%20Ride%20Sharing%20System/README_EN.md
number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers	1577	Number of Ways Where Square of Number Is Equal to Product of Two Numbers	direct	Array|Hash Table|Math|Two Pointers	Hash Table + Enumeration|Hash Table + Enumeration Optimization	1577_number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1577.Number%20of%20Ways%20Where%20Square%20of%20Number%20Is%20Equal%20to%20Product%20of%20Two%20Numbers/README_EN.md
maximum-number-of-operations-to-move-ones-to-the-end	3228	Maximum Number of Operations to Move Ones to the End	direct	Greedy|String|Counting	Greedy	3228_maximum-number-of-operations-to-move-ones-to-the-end.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3228.Maximum%20Number%20of%20Operations%20to%20Move%20Ones%20to%20the%20End/README_EN.md
smallest-all-ones-multiple	3790	Smallest All-Ones Multiple	direct	Hash Table|Math	Simulation + Modulo Operation	3790_smallest-all-ones-multiple.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3790.Smallest%20All-Ones%20Multiple/README_EN.md
binary-subarrays-with-sum	930	Binary Subarrays With Sum	direct	Array|Hash Table|Prefix Sum|Sliding Window	<!-- tabs:start -->|<!-- tabs:start -->	0930_binary-subarrays-with-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0930.Binary%20Subarrays%20With%20Sum/README_EN.md
iterator-for-combination	1286	Iterator for Combination	direct	Design|String|Backtracking|Iterator	<!-- tabs:start -->|<!-- tabs:start -->	1286_iterator-for-combination.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1286.Iterator%20for%20Combination/README_EN.md
zero-array-transformation-i	3355	Zero Array Transformation I	direct	Array|Prefix Sum	Difference Array	3355_zero-array-transformation-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3300-3399/3355.Zero%20Array%20Transformation%20I/README_EN.md
maximum-points-after-enemy-battles	3207	Maximum Points After Enemy Battles	direct	Greedy|Array	Greedy + Sorting	3207_maximum-points-after-enemy-battles.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3207.Maximum%20Points%20After%20Enemy%20Battles/README_EN.md
final-element-after-subarray-deletions	3828	Final Element After Subarray Deletions	direct	Brainteaser|Array|Math|Game Theory	Brain Teaser	3828_final-element-after-subarray-deletions.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3800-3899/3828.Final%20Element%20After%20Subarray%20Deletions/README_EN.md
pancake-sorting	969	Pancake Sorting	direct	Greedy|Array|Two Pointers|Sorting	<!-- tabs:start -->	0969_pancake-sorting.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0969.Pancake%20Sorting/README_EN.md
number-of-ways-to-split-a-string	1573	Number of Ways to Split a String	direct	Math|String	Counting	1573_number-of-ways-to-split-a-string.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1573.Number%20of%20Ways%20to%20Split%20a%20String/README_EN.md
ways-to-make-a-fair-array	1664	Ways to Make a Fair Array	direct	Array|Prefix Sum	Enumeration + Prefix Sum	1664_ways-to-make-a-fair-array.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1664.Ways%20to%20Make%20a%20Fair%20Array/README_EN.md
groups-of-special-equivalent-strings	893	Groups of Special-Equivalent Strings	direct	Array|Hash Table|String|Sorting	<!-- tabs:start -->	0893_groups-of-special-equivalent-strings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0893.Groups%20of%20Special-Equivalent%20Strings/README_EN.md
