Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
query-kth-smallest-trimmed-number	2343	Query Kth Smallest Trimmed Number	direct	Array|String|Divide and Conquer|Quickselect|Radix Sort|Sorting|Heap (Priority Queue)	Simulation	2343_query-kth-smallest-trimmed-number.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2343.Query%20Kth%20Smallest%20Trimmed%20Number/README_EN.md
minimize-array-sum-using-divisible-replacements	3927	Minimize Array Sum Using Divisible Replacements	direct		<!-- tabs:start -->	3927_minimize-array-sum-using-divisible-replacements.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3900-3999/3927.Minimize%20Array%20Sum%20Using%20Divisible%20Replacements/README_EN.md
number-of-corner-rectangles	750	Number Of Corner Rectangles	direct	Array|Math|Dynamic Programming|Matrix	Hash Table + Enumeration	0750_number-of-corner-rectangles.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0700-0799/0750.Number%20Of%20Corner%20Rectangles/README_EN.md
get-watched-videos-by-your-friends	1311	Get Watched Videos by Your Friends	direct	Breadth-First Search|Graph|Array|Hash Table|Sorting	BFS	1311_get-watched-videos-by-your-friends.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1300-1399/1311.Get%20Watched%20Videos%20by%20Your%20Friends/README_EN.md
minimum-difference-between-largest-and-smallest-value-in-three-moves	1509	Minimum Difference Between Largest and Smallest Value in Three Moves	direct	Greedy|Array|Sorting	<!-- tabs:start -->	1509_minimum-difference-between-largest-and-smallest-value-in-three-moves.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1509.Minimum%20Difference%20Between%20Largest%20and%20Smallest%20Value%20in%20Three%20Moves/README_EN.md
number-of-dice-rolls-with-target-sum	1155	Number of Dice Rolls With Target Sum	direct	Dynamic Programming	Dynamic Programming|<!-- tabs:start -->	1155_number-of-dice-rolls-with-target-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1155.Number%20of%20Dice%20Rolls%20With%20Target%20Sum/README_EN.md
smallest-common-region	1257	Smallest Common Region	direct	Tree|Depth-First Search|Breadth-First Search|Array|Hash Table|String	Hash Table	1257_smallest-common-region.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1257.Smallest%20Common%20Region/README_EN.md
minimum-cost-for-cutting-cake-i	3218	Minimum Cost for Cutting Cake I	direct	Greedy|Array|Two Pointers|Dynamic Programming|Sorting	Greedy + Two Pointers	3218_minimum-cost-for-cutting-cake-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3218.Minimum%20Cost%20for%20Cutting%20Cake%20I/README_EN.md
longest-common-prefix-between-adjacent-strings-after-removals	3598	Longest Common Prefix Between Adjacent Strings After Removals	direct	Array|String	Ordered Set	3598_longest-common-prefix-between-adjacent-strings-after-removals.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3598.Longest%20Common%20Prefix%20Between%20Adjacent%20Strings%20After%20Removals/README_EN.md
max-consecutive-ones-iii	1004	Max Consecutive Ones III	direct	Array|Binary Search|Prefix Sum|Sliding Window	Sliding Window	1004_max-consecutive-ones-iii.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1004.Max%20Consecutive%20Ones%20III/README_EN.md
minimum-remove-to-make-valid-parentheses	1249	Minimum Remove to Make Valid Parentheses	direct	Stack|String	Two Passes	1249_minimum-remove-to-make-valid-parentheses.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1249.Minimum%20Remove%20to%20Make%20Valid%20Parentheses/README_EN.md
number-of-ways-to-select-buildings	2222	Number of Ways to Select Buildings	direct	String|Dynamic Programming|Prefix Sum	Counting + Enumeration	2222_number-of-ways-to-select-buildings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2200-2299/2222.Number%20of%20Ways%20to%20Select%20Buildings/README_EN.md
minimum-operations-to-make-binary-palindrome	3766	Minimum Operations to Make Binary Palindrome	direct	Bit Manipulation|Array|Two Pointers|Binary Search	Preprocessing + Binary Search	3766_minimum-operations-to-make-binary-palindrome.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3766.Minimum%20Operations%20to%20Make%20Binary%20Palindrome/README_EN.md
shortest-path-in-binary-matrix	1091	Shortest Path in Binary Matrix	direct	Breadth-First Search|Array|Matrix	<!-- tabs:start -->	1091_shortest-path-in-binary-matrix.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1091.Shortest%20Path%20in%20Binary%20Matrix/README_EN.md
count-unhappy-friends	1583	Count Unhappy Friends	direct	Array|Simulation	Enumeration	1583_count-unhappy-friends.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1500-1599/1583.Count%20Unhappy%20Friends/README_EN.md
minimum-path-cost-in-a-grid	2304	Minimum Path Cost in a Grid	direct	Array|Dynamic Programming|Matrix	Dynamic Programming	2304_minimum-path-cost-in-a-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2304.Minimum%20Path%20Cost%20in%20a%20Grid/README_EN.md
count-the-number-of-houses-at-a-certain-distance-i	3015	Count the Number of Houses at a Certain Distance I	direct	Breadth-First Search|Graph|Prefix Sum	Enumeration	3015_count-the-number-of-houses-at-a-certain-distance-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3015.Count%20the%20Number%20of%20Houses%20at%20a%20Certain%20Distance%20I/README_EN.md
invalid-transactions	1169	Invalid Transactions	direct	Array|Hash Table|String|Sorting	Hash Table + Simulation	1169_invalid-transactions.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1169.Invalid%20Transactions/README_EN.md
number-of-closed-islands	1254	Number of Closed Islands	direct	Depth-First Search|Breadth-First Search|Union Find|Array|Matrix	DFS|Union-Find	1254_number-of-closed-islands.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1254.Number%20of%20Closed%20Islands/README_EN.md
check-if-move-is-legal	1958	Check if Move is Legal	direct	Array|Enumeration|Matrix	Enumeration	1958_check-if-move-is-legal.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1900-1999/1958.Check%20if%20Move%20is%20Legal/README_EN.md
append-k-integers-with-minimal-sum	2195	Append K Integers With Minimal Sum	direct	Greedy|Array|Math|Sorting	Sorting + Greedy + Mathematics	2195_append-k-integers-with-minimal-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2195.Append%20K%20Integers%20With%20Minimal%20Sum/README_EN.md
length-of-the-longest-subsequence-that-sums-to-target	2915	Length of the Longest Subsequence That Sums to Target	direct	Array|Dynamic Programming	Dynamic Programming|<!-- tabs:start -->	2915_length-of-the-longest-subsequence-that-sums-to-target.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2915.Length%20of%20the%20Longest%20Subsequence%20That%20Sums%20to%20Target/README_EN.md
path-existence-queries-in-a-graph-i	3532	Path Existence Queries in a Graph I	direct	Union Find|Graph|Array|Hash Table|Binary Search	Grouping	3532_path-existence-queries-in-a-graph-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3532.Path%20Existence%20Queries%20in%20a%20Graph%20I/README_EN.md
minimum-time-to-revert-word-to-initial-state-i	3029	Minimum Time to Revert Word to Initial State I	direct	String|String Matching|Hash Function|Rolling Hash	Enumeration|Enumeration + String Hash	3029_minimum-time-to-revert-word-to-initial-state-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3029.Minimum%20Time%20to%20Revert%20Word%20to%20Initial%20State%20I/README_EN.md
count-almost-equal-pairs-i	3265	Count Almost Equal Pairs I	direct	Array|Hash Table|Counting|Enumeration|Sorting	Sorting + Enumeration	3265_count-almost-equal-pairs-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3265.Count%20Almost%20Equal%20Pairs%20I/README_EN.md
minimum-operations-to-make-array-non-decreasing	3914	Minimum Operations to Make Array Non Decreasing	direct		Greedy	3914_minimum-operations-to-make-array-non-decreasing.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3900-3999/3914.Minimum%20Operations%20to%20Make%20Array%20Non%20Decreasing/README_EN.md
path-with-maximum-gold	1219	Path with Maximum Gold	direct	Array|Backtracking|Matrix	DFS	1219_path-with-maximum-gold.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1219.Path%20with%20Maximum%20Gold/README_EN.md
vowels-of-all-substrings	2063	Vowels of All Substrings	direct	Math|String|Dynamic Programming|Combinatorics	Enumerate Contribution	2063_vowels-of-all-substrings.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2063.Vowels%20of%20All%20Substrings/README_EN.md
minimum-operations-to-make-the-array-alternating	2170	Minimum Operations to Make the Array Alternating	direct	Greedy|Array|Hash Table|Counting	Maintain Count of Odd and Even Positions	2170_minimum-operations-to-make-the-array-alternating.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2170.Minimum%20Operations%20to%20Make%20the%20Array%20Alternating/README_EN.md
count-collisions-of-monkeys-on-a-polygon	2550	Count Collisions of Monkeys on a Polygon	direct	Recursion|Math	Mathematics (Fast Power)	2550_count-collisions-of-monkeys-on-a-polygon.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2550.Count%20Collisions%20of%20Monkeys%20on%20a%20Polygon/README_EN.md
mice-and-cheese	2611	Mice and Cheese	direct	Greedy|Array|Sorting|Heap (Priority Queue)	Greedy + Sort|<!-- tabs:start -->	2611_mice-and-cheese.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2600-2699/2611.Mice%20and%20Cheese/README_EN.md
number-of-unique-xor-triplets-i	3513	Number of Unique XOR Triplets I	direct	Bit Manipulation|Array|Math	<!-- tabs:start -->	3513_number-of-unique-xor-triplets-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3513.Number%20of%20Unique%20XOR%20Triplets%20I/README_EN.md
find-maximum-balanced-xor-subarray-length	3755	Find Maximum Balanced XOR Subarray Length	direct	Bit Manipulation|Array|Hash Table|Prefix Sum	Prefix Sum + Hash Table	3755_find-maximum-balanced-xor-subarray-length.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3755.Find%20Maximum%20Balanced%20XOR%20Subarray%20Length/README_EN.md
all-nodes-distance-k-in-binary-tree	863	All Nodes Distance K in Binary Tree	direct	Tree|Depth-First Search|Breadth-First Search|Hash Table|Binary Tree	DFS + Hash Table	0863_all-nodes-distance-k-in-binary-tree.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0863.All%20Nodes%20Distance%20K%20in%20Binary%20Tree/README_EN.md
find-the-maximum-length-of-valid-subsequence-i	3201	Find the Maximum Length of Valid Subsequence I	direct	Array|Dynamic Programming	Dynamic Programming	3201_find-the-maximum-length-of-valid-subsequence-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3200-3299/3201.Find%20the%20Maximum%20Length%20of%20Valid%20Subsequence%20I/README_EN.md
divide-array-into-increasing-sequences	1121	Divide Array Into Increasing Sequences	direct	Array|Counting	Quick Thinking|<!-- tabs:start -->	1121_divide-array-into-increasing-sequences.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1121.Divide%20Array%20Into%20Increasing%20Sequences/README_EN.md
coordinate-with-maximum-network-quality	1620	Coordinate With Maximum Network Quality	direct	Array|Enumeration	<!-- tabs:start -->	1620_coordinate-with-maximum-network-quality.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1600-1699/1620.Coordinate%20With%20Maximum%20Network%20Quality/README_EN.md
find-score-of-an-array-after-marking-all-elements	2593	Find Score of an Array After Marking All Elements	direct	Array|Hash Table|Sorting|Simulation|Heap (Priority Queue)	Priority Queue (Min Heap)|Sorting	2593_find-score-of-an-array-after-marking-all-elements.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2500-2599/2593.Find%20Score%20of%20an%20Array%20After%20Marking%20All%20Elements/README_EN.md
as-far-from-land-as-possible	1162	As Far from Land as Possible	direct	Breadth-First Search|Array|Dynamic Programming|Matrix	BFS	1162_as-far-from-land-as-possible.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1100-1199/1162.As%20Far%20from%20Land%20as%20Possible/README_EN.md
minimum-absolute-distance-between-mirror-pairs	3761	Minimum Absolute Distance Between Mirror Pairs	direct	Array|Hash Table|Math	Hash Table	3761_minimum-absolute-distance-between-mirror-pairs.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3761.Minimum%20Absolute%20Distance%20Between%20Mirror%20Pairs/README_EN.md
find-kth-largest-xor-coordinate-value	1738	Find Kth Largest XOR Coordinate Value	direct	Bit Manipulation|Array|Divide and Conquer|Matrix|Prefix Sum|Quickselect|Sorting|Heap (Priority Queue)	Two-dimensional Prefix XOR + Sorting or Quick Selection	1738_find-kth-largest-xor-coordinate-value.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1738.Find%20Kth%20Largest%20XOR%20Coordinate%20Value/README_EN.md
multi-source-flood-fill	3905	Multi Source Flood Fill	direct	Breadth-First Search|Array|Matrix	Multi-source BFS	3905_multi-source-flood-fill.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3900-3999/3905.Multi%20Source%20Flood%20Fill/README_EN.md
longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit	1438	Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit	direct	Queue|Array|Ordered Set|Sliding Window|Monotonic Queue|Heap (Priority Queue)	Ordered Set + Sliding Window|Binary Search + Sliding Window|Sliding Window + Deque	1438_longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1438.Longest%20Continuous%20Subarray%20With%20Absolute%20Diff%20Less%20Than%20or%20Equal%20to%20Limit/README_EN.md
minimum-operations-to-make-a-uni-value-grid	2033	Minimum Operations to Make a Uni-Value Grid	direct	Array|Math|Matrix|Sorting	Greedy	2033_minimum-operations-to-make-a-uni-value-grid.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2000-2099/2033.Minimum%20Operations%20to%20Make%20a%20Uni-Value%20Grid/README_EN.md
